;http;STANDALONE;6.93603;
;http;STANDALONE;6.90709;
;https;XrdHTTP_CERN;7.96526;
;xroot;RHUL;21.3553;
;http;ECDF;27.0796;
;http;STANDALONE;6.91938;
;xroot;XrdHTTP_CERN;10.181;
;http;DCACHE_CANADA;154.949;
;xroot;1298;;
;https;AUSTRALIA;345.7;
;http;TAIWAN;263.36;
;xroot;CERN;6.92777;
;http;XrdHTTP_CERN;9.42723;
;xroot;RHUL;14.152;
;https;XrdHTTP_CERN;7.38983;
;xroot;XrdHTTP_CERN;9.05271;
;xroot;XrdHTTP_CERN;8.76653;
;http;STANDALONE;6.90328;
;https;XrdHTTP_CERN;7.20245;
;http;DCACHE_CANADA;145.502;
;https;XrdHTTP_CERN;7.04471;
;xroot;STANDALONE;6.92619;
;http;STANDALONE;6.92978;
;https;STANDALONE;10.7188;
;http;STANDALONE;6.92159;
;xroot;NA_INFN;42.282;
;xroot;CERN;6.91975;
;xroot;STANDALONE;6.96026;
;xroot;XrdHTTP_CERN;10.6513;
;http;STANDALONE;6.94925;
;http;STANDALONE;6.92876;
;xroot;STANDALONE;7.04468;
;xroot;XrdHTTP_CERN;7.88002;
;xroot;AUSTRALIA;346.614;
;http;STANDALONE;6.93723;
;xroot;XrdHTTP_CERN;6.88104;
;xroot;AUSTRALIA;330.381;
;xroot;RHUL;16.4795;
;http;STANDALONE;6.92236;
;xroot;SHEF;46.9345;
;http;26414;;
;xroot;26621;;
;xroot;STANDALONE;7.1769;
;xroot;XrdHTTP_CERN;6.8926;
;xroot;STANDALONE;6.93173;
;xroot;STANDALONE;7.13342;
;https;AUSTRALIA;328.575;
;http;XrdHTTP_CERN;9.45836;
;xroot;STANDALONE;6.97076;
;xroot;STANDALONE;7.00602;
;xroot;NA_INFN;61.2585;
;https;XrdHTTP_CERN;10.8801;
;http;XrdHTTP_CERN;13.1362;
;xroot;RHUL;15.2799;
;xroot;CERN;6.89738;
;xroot;STANDALONE;6.95464;
;http;NA_INFN;38.2083;
;http;25845;;
;https;STANDALONE;11.2992;
;http;CERN;7.03497;
;xroot;CERN;7.27224;
;xroot;AUSTRALIA;397.297;
;https;STANDALONE;10.7123;
;xroot;ECDF;19.2808;
;http;CERN;7.03495;
;xroot;XrdHTTP_CERN;11.9747;
;xroot;STANDALONE;7.01386;
;xroot;XrdHTTP_CERN;7.82699;
;http;STANDALONE;6.88806;
;http;STANDALONE;6.94146;
;http;RHUL;15.8488;
;http;RHUL;20.088;
;xroot;ECDF;22.8576;
;xroot;STANDALONE;6.9375;
;http;5681;;
;http;XrdHTTP_CERN;9.87991;
;xroot;STANDALONE;6.95095;
;xroot;XrdHTTP_CERN;10.5885;
;http;TAIWAN;269.983;
;xroot;STANDALONE;6.9647;
;xroot;STANDALONE;7.03531;
;xroot;RHUL;15.5306;
;xroot;XrdHTTP_CERN;6.89398;
;xroot;STANDALONE;7.04274;
;xroot;XrdHTTP_CERN;10.203;
;xroot;AUSTRALIA;463.125;
;xroot;TAIWAN;340.273;
;xroot;SHEF;42.0588;
;http;XrdHTTP_CERN;16.236;
;http;CERN;7.0457;
;xroot;SHEF;38.1021;
;xroot;AUSTRALIA;370.532;
;xroot;SHEF;40.1128;
;xroot;ECDF;20.9128;
;http;ECDF;35.5273;
;http;6957;;
;xroot;STANDALONE;6.97392;
;xroot;CERN;6.89739;
;https;AUSTRALIA;278.679;
;xroot;XrdHTTP_CERN;6.89554;
;xroot;XrdHTTP_PCIT;6.93776;
;xroot;STANDALONE;7.02586;
;https;AUSTRALIA;375.462;
;xroot;TAIWAN;364.302;
;xroot;1060;;
;xroot;XrdHTTP_CERN;10.8339;
;https;STANDALONE;10.6293;
;https;STANDALONE;10.6731;
;http;NA_INFN;27.1438;
;xroot;STANDALONE;7.0409;
;http;STANDALONE;6.95437;
;http;SHEF;62.6156;
;http;SHEF;32.4776;
;xroot;CERN;6.90927;
;https;XrdHTTP_PCIT;10.3427;
;https;STANDALONE;10.5519;
;https;XrdHTTP_CERN;7.24886;
;http;CERN;7.03223;
;http;3624;;
;http;ECDF;26.4621;
;xroot;XrdHTTP_PCIT;6.89594;
;xroot;XrdHTTP_CERN;24.9005;
;xroot;TAIWAN;386.434;
;xroot;STANDALONE;7.00379;
;http;XrdHTTP_CERN;16.6197;
;http;TAIWAN;319.595;
;xroot;TAIWAN;353.296;
;http;TAIWAN;245.493;
;xroot;28965;;
;xroot;XrdHTTP_CERN;6.87442;
;http;25260;;
;https;XrdHTTP_CERN;7.11285;
;http;8496;;
;xroot;STANDALONE;7.0788;
;http;RHUL;21.5945;
;xroot;CERN;6.94544;
;xroot;ECDF;23.1269;
;xroot;SHEF;75.9572;
;xroot;NA_INFN;42.607;
;http;STANDALONE;6.93847;
;xroot;NA_INFN;42.6694;
;http;CERN;7.04364;
;xroot;STANDALONE;6.93831;
;xroot;STANDALONE;7.07227;
;xroot;RHUL;16.6495;
;http;ECDF;25.8442;
;xroot;STANDALONE;6.9647;
;xroot;ECDF;25.0857;
;xroot;SHEF;40.7837;
;xroot;XrdHTTP_CERN;16.9962;
;http;RHUL;22.3363;
;http;STANDALONE;6.9054;
;xroot;ECDF;22.4042;
;https;AUSTRALIA;346.271;
;xroot;XrdHTTP_CERN;7.91051;
;xroot;STANDALONE;7.06778;
;http;TAIWAN;311.151;
;xroot;XrdHTTP_PCIT;6.91551;
;http;4957;;
;http;XrdHTTP_CERN;9.61053;
;xroot;TAIWAN;449.794;
;http;SHEF;27.7731;
;xroot;ECDF;26.0529;
;http;STANDALONE;6.91578;
;xroot;STANDALONE;14.195;
;xroot;TAIWAN;265.763;
;xroot;ECDF;25.4336;
;xroot;ECDF;21.0357;
;xroot;CERN;6.93501;
;http;CERN;6.97661;
;xroot;NA_INFN;33.483;
;http;STANDALONE;6.93778;
;http;TAIWAN;281.612;
;https;AUSTRALIA;343.227;
;xroot;SHEF;37.2107;
;xroot;STANDALONE;6.97005;
;xroot;DCACHE_CANADA;146.171;
;xroot;STANDALONE;6.93689;
;http;RHUL;19.14;
;https;AUSTRALIA;307.527;
;http;SHEF;28.5452;
;xroot;XrdHTTP_CERN;8.43705;
;http;TAIWAN;344.161;
;https;XrdHTTP_CERN;9.04544;
;xroot;CERN;6.92364;
;http;STANDALONE;6.94978;
;xroot;STANDALONE;6.94893;
;http;STANDALONE;6.92232;
;xroot;XrdHTTP_CERN;6.89468;
;http;RHUL;16.1708;
;xroot;STANDALONE;6.95332;
;http;TAIWAN;340.47;
;xroot;11447;;
;http;STANDALONE;6.90008;
;http;DCACHE_CANADA;144.549;
;https;XrdHTTP_CERN;7.98624;
;http;6788;;
;xroot;ECDF;20.9028;
;xroot;XrdHTTP_CERN;8.28237;
;https;XrdHTTP_CERN;7.32335;
;http;ECDF;27.9066;
;http;ECDF;25.0323;
;xroot;NA_INFN;44.5625;
;http;XrdHTTP_PCIT;7.13299;
;xroot;SHEF;47.0187;
;xroot;XrdHTTP_CERN;6.89393;
;https;XrdHTTP_CERN;7.06273;
;http;CERN;7.05402;
;xroot;XrdHTTP_CERN;6.87058;
;xroot;XrdHTTP_CERN;9.03248;
;http;CERN;7.00871;
;xroot;XrdHTTP_CERN;7.63087;
;http;STANDALONE;6.89641;
;xroot;XrdHTTP_CERN;6.89608;
;http;1115;;
;xroot;STANDALONE;6.95217;
;http;STANDALONE;6.93813;
;http;5986;;
;http;STANDALONE;6.96588;
;http;29132;;
;https;XrdHTTP_CERN;7.75111;
;xroot;XrdHTTP_CERN;7.95962;
;xroot;XrdHTTP_CERN;7.73847;
;http;NA_INFN;37.0355;
;http;CERN;7.0268;
;xroot;SHEF;44.5907;
;http;TAIWAN;317.894;
;http;STANDALONE;6.92749;
;http;STANDALONE;6.91996;
;xroot;XrdHTTP_CERN;6.86967;
;xroot;ECDF;18.798;
;http;STANDALONE;6.91639;
;xroot;CERN;6.88131;
;xroot;SHEF;39.8314;
;xroot;RHUL;18.9256;
;xroot;XrdHTTP_CERN;10.216;
;xroot;XrdHTTP_CERN;7.41811;
;xroot;TAIWAN;331.168;
;xroot;XrdHTTP_CERN;6.89401;
;xroot;SHEF;40.0165;
;http;SHEF;23.8918;
;xroot;CERN;6.8917;
;xroot;TAIWAN;383.981;
;xroot;RHUL;16.512;
;xroot;XrdHTTP_CERN;6.87747;
;http;STANDALONE;6.94919;
;xroot;STANDALONE;6.93449;
;http;STANDALONE;6.93719;
;xroot;RHUL;20.7265;
;http;XrdHTTP_CERN;10.5538;
;http;STANDALONE;6.90599;
;xroot;STANDALONE;6.95067;
;xroot;STANDALONE;7.06876;
;xroot;18115;;
;https;XrdHTTP_CERN;10.5443;
;http;SHEF;27.7509;
;http;NA_INFN;33.9205;
;http;XrdHTTP_CERN;10.0029;
;xroot;4667;;
;xroot;STANDALONE;7.0013;
;https;XrdHTTP_CERN;7.07382;
;xroot;STANDALONE;7.05199;
;xroot;ECDF;21.5372;
;xroot;NA_INFN;49.3609;
;xroot;STANDALONE;7.06303;
;https;AUSTRALIA;316.008;
;xroot;NA_INFN;38.2052;
;xroot;23888;;
;xroot;AUSTRALIA;366.36;
;xroot;AUSTRALIA;328.338;
;xroot;STANDALONE;7.18487;
;xroot;TAIWAN;364.828;
;xroot;CERN;6.89409;
;xroot;NA_INFN;36.7521;
;xroot;RHUL;24.0735;
;https;XrdHTTP_CERN;10.9826;
;xroot;NA_INFN;44.5707;
;xroot;STANDALONE;6.95841;
;https;XrdHTTP_CERN;7.35537;
;https;STANDALONE;10.1874;
;xroot;STANDALONE;6.95009;
;http;ECDF;61.4588;
;https;AUSTRALIA;289.424;
;http;STANDALONE;6.94484;
;xroot;XrdHTTP_CERN;9.5899;
;https;XrdHTTP_CERN;7.10181;
;xroot;STANDALONE;6.94161;
;xroot;RHUL;28.0288;
;xroot;SHEF;77.367;
;xroot;SHEF;50.6392;
;xroot;STANDALONE;7.00193;
;xroot;CERN;6.98213;
;xroot;SHEF;170.828;
;xroot;ECDF;22.6698;
;http;DCACHE_CANADA;132.824;
;xroot;TAIWAN;363.008;
;https;XrdHTTP_CERN;127.205;
;xroot;STANDALONE;6.96486;
;http;STANDALONE;6.91471;
;xroot;TAIWAN;411.738;
;http;16400;;
;xroot;NA_INFN;41.9168;
;http;ECDF;27.3318;
;http;SHEF;25.2152;
;xroot;TAIWAN;393.642;
;http;RHUL;18.7152;
;xroot;XrdHTTP_CERN;6.92352;
;xroot;ECDF;22.0455;
;http;DCACHE_CANADA;139.871;
;http;STANDALONE;6.9454;
;xroot;23279;;
;xroot;STANDALONE;6.93395;
;https;STANDALONE;10.8462;
;https;STANDALONE;10.3493;
;xroot;SHEF;45.4216;
;https;XrdHTTP_CERN;7.37277;
;http;SHEF;27.2456;
;xroot;30487;;
;xroot;STANDALONE;6.99257;
;http;ECDF;29.2604;
;xroot;STANDALONE;6.99782;
;xroot;ECDF;24.7663;
;xroot;RHUL;14.516;
;xroot;STANDALONE;7.12268;
;https;XrdHTTP_CERN;11.1918;
;http;SHEF;29.1561;
;https;XrdHTTP_CERN;134.341;
;xroot;XrdHTTP_CERN;10.8784;
;https;AUSTRALIA;361.433;
;xroot;AUSTRALIA;406.231;
;xroot;STANDALONE;6.92115;
;xroot;TAIWAN;530.719;
;xroot;SHEF;34.984;
;https;XrdHTTP_CERN;7.35787;
;http;CERN;7.01532;
;xroot;STANDALONE;6.92598;
;http;NA_INFN;36.1073;
;xroot;26305;;
;xroot;STANDALONE;6.99294;
;http;TAIWAN;286.391;
;https;XrdHTTP_CERN;7.04694;
;xroot;CERN;6.95106;
;http;RHUL;18.1724;
;xroot;STANDALONE;6.95236;
;xroot;XrdHTTP_CERN;10.495;
;xroot;XrdHTTP_CERN;6.90336;
;xroot;ECDF;25.3474;
;http;XrdHTTP_CERN;9.97708;
;https;XrdHTTP_CERN;7.26391;
;http;SHEF;40.0214;
;http;STANDALONE;6.97838;
;http;CERN;7.00024;
;http;1085;;
;http;STANDALONE;6.9087;
;https;XrdHTTP_CERN;7.88102;
;http;STANDALONE;8.66293;
;xroot;SHEF;38.5504;
;https;XrdHTTP_CERN;7.04784;
;xroot;XrdHTTP_CERN;6.89271;
;http;XrdHTTP_CERN;9.49306;
;http;ECDF;34.7732;
;https;XrdHTTP_CERN;7.73758;
;http;SHEF;29.9146;
;http;CERN;7.05726;
;http;NA_INFN;28.4775;
;xroot;AUSTRALIA;339.827;
;http;STANDALONE;6.93793;
;http;ECDF;27.4142;
;xroot;XrdHTTP_CERN;10.1227;
;xroot;SHEF;52.3068;
;http;STANDALONE;6.90436;
;xroot;XrdHTTP_CERN;9.98017;
;http;STANDALONE;6.91713;
;xroot;2377;;
;xroot;CERN;6.91886;
;http;ECDF;38.1898;
;http;STANDALONE;6.91799;
;xroot;XrdHTTP_CERN;10.6;
;xroot;STANDALONE;7.09536;
;xroot;ECDF;26.4316;
;xroot;XrdHTTP_CERN;18.1144;
;xroot;STANDALONE;6.96055;
;http;NA_INFN;31.6158;
;https;STANDALONE;10.167;
;http;CERN;7.00216;
;http;13461;;
;xroot;STANDALONE;7.04739;
;xroot;STANDALONE;6.95072;
;xroot;19265;;
;http;TAIWAN;402.304;
;xroot;STANDALONE;6.97554;
;xroot;STANDALONE;6.9387;
;xroot;STANDALONE;6.95725;
;http;SHEF;26.5615;
;xroot;STANDALONE;6.9026;
;xroot;32696;;
;http;18048;;
;http;26500;;
;https;XrdHTTP_CERN;8.08419;
;xroot;SHEF;42.6892;
;http;NA_INFN;42.2327;
;http;DCACHE_CANADA;146.382;
;http;XrdHTTP_CERN;10.4868;
;http;17782;;
;xroot;STANDALONE;7.03345;
;http;XrdHTTP_PCIT;7.16627;
;xroot;XrdHTTP_CERN;6.93011;
;xroot;30712;;
;xroot;TAIWAN;420.932;
;xroot;STANDALONE;6.92166;
;http;STANDALONE;6.89659;
;xroot;AUSTRALIA;358.594;
;xroot;XrdHTTP_CERN;11.9519;
;http;3468;;
;https;STANDALONE;10.9164;
;xroot;STANDALONE;7.02758;
;xroot;CERN;7.58478;
;http;16712;;
;xroot;RHUL;21.7783;
;http;STANDALONE;6.95876;
;xroot;TAIWAN;340.933;
;xroot;STANDALONE;7.84687;
;http;CERN;7.05945;
;xroot;XrdHTTP_CERN;9.63355;
;xroot;14464;;
;xroot;RHUL;15.753;
;http;ECDF;26.9577;
;http;SHEF;30.984;
;xroot;XrdHTTP_CERN;7.27187;
;http;CERN;7.17976;
;xroot;ECDF;29.6501;
;xroot;STANDALONE;6.91613;
;http;XrdHTTP_PCIT;7.14028;
;xroot;XrdHTTP_CERN;7.21418;
;https;XrdHTTP_CERN;10.6385;
;xroot;30064;;
;http;STANDALONE;6.98013;
;xroot;17728;;
;https;STANDALONE;11.2826;
;https;AUSTRALIA;293.532;
;http;ECDF;40.4356;
;http;RHUL;18.4789;
;http;XrdHTTP_CERN;9.96575;
;http;ECDF;27.5653;
;xroot;ECDF;26.966;
;http;CERN;7.0076;
;xroot;31052;;
;xroot;XrdHTTP_PCIT;6.9164;
;xroot;STANDALONE;7.00843;
;http;RHUL;17.4906;
;http;ECDF;42.088;
;xroot;STANDALONE;6.98178;
;http;STANDALONE;6.9338;
;http;STANDALONE;6.93208;
;xroot;STANDALONE;7.02092;
;http;STANDALONE;6.92615;
;http;CERN;7.01577;
;xroot;STANDALONE;7.22345;
;xroot;XrdHTTP_CERN;7.88675;
;xroot;STANDALONE;6.92982;
;http;ECDF;28.7305;
;xroot;RHUL;42.8145;
;xroot;XrdHTTP_CERN;8.17357;
;http;DCACHE_CANADA;121.183;
;xroot;STANDALONE;6.99254;
;xroot;CERN;6.93148;
;https;AUSTRALIA;336.378;
;xroot;CERN;6.91907;
;https;XrdHTTP_CERN;7.04302;
;xroot;RHUL;13.0636;
;http;ECDF;25.3529;
;http;RHUL;14.7182;
;http;518;;
